,X1,Y1,X2,Y2,From_ID,To_ID, Edge_ID,Distance_km,Average_speed,Edge_Traffic
10975,29.161829,41.007076,29.162232,41.006924,332.62537,332.62924,665.25461,0.037463315,34,"(332.62537, 332.62924)"
10976,29.164532,41.01136,29.164679,41.011365,332.65668,332.65816,665.31484,0.012213616,46,"(332.65668, 332.65816)"
10977,29.173127,41.006106,29.173235,41.006056,332.73738,332.73841,665.47579,0.010543045,13,"(332.73738, 332.73841)"
10978,29.163371,41.009233,29.163535,41.009263,332.64294,332.64461,665.28755,0.014013402,15,"(332.64294, 332.64461)"
10979,29.171852,41.005204,29.17194,41.005149,332.72372,332.72455,665.44827,0.009519424,12,"(332.72372, 332.72455)"
10980,29.161287,41.007301,29.161636,41.007029,332.62017,332.62339,665.24356,0.041840697,38,"(332.62017, 332.62339)"
10981,29.164006,41.010027,29.16409,41.009989,332.65009,332.65089,665.30098,0.008148638,5,"(332.65009, 332.65089)"
10982,29.162232,41.006924,29.161888,41.007142,332.62924,332.62602,665.25526,0.037426727,39,"(332.62924, 332.62602)"
10983,29.161888,41.007142,29.16178,41.007211,332.62602,332.62501,665.25103,0.011790402,55,"(332.62602, 332.62501)"
10984,29.16178,41.007211,29.161104,41.007418,332.62501,332.61846,665.24347,0.060630439,34,"(332.62501, 332.61846)"
10985,29.146199,41.006289,29.145587,41.006371,332.46828,332.46224,664.93052,0.051605039,55,"(332.46828, 332.46224)"
10986,29.139618,41.009525,29.141514,41.008006,332.40571,332.42315,664.82886,0.230637556,44,"(332.40571, 332.42315)"
10987,29.141514,41.008006,29.141767,41.007774,332.42315,332.42544,664.84859,0.033228354,45,"(332.42315, 332.42544)"
10988,29.152374,41.003486,29.145587,41.006371,332.52723,332.46224,664.98947,0.647982256,59,"(332.52723, 332.46224)"
10989,29.145587,41.006371,29.141999,41.007888,332.46224,332.42788,664.89012,0.342113145,59,"(332.46224, 332.42788)"
10990,29.141999,41.007888,29.14176,41.008113,332.42788,332.42571,664.85359,0.03189447,58,"(332.42788, 332.42571)"
10991,29.14176,41.008113,29.139683,41.009628,332.42571,332.40646,664.83217,0.240827997,59,"(332.42571, 332.40646)"
10992,29.155843,41.00014,29.15573,41.000183,332.55857,332.55748,665.11605,0.010523648,49,"(332.55857, 332.55748)"
10993,29.155891,41.000244,29.155784,41.00029,332.55915,332.55813,665.11728,0.010244188,53,"(332.55915, 332.55813)"
10994,29.167822,41.00214,29.167736,41.002193,332.68036,332.67955,665.35991,0.009249904,38,"(332.68036, 332.67955)"
10995,29.166981,41.001641,29.167054,41.001594,332.67145,332.67213,665.34358,0.007995534,6,"(332.67145, 332.67213)"
10996,29.156433,40.997999,29.155221,40.998808,332.56233,332.55102,665.11335,0.134845896,35,"(332.56233, 332.55102)"
10997,29.155974,41.016797,29.155991,41.016707,332.57654,332.57662,665.15316,0.010089154,10,"(332.57654, 332.57662)"
10998,29.173978,41.035137,29.173913,41.035108,332.77492,332.77424,665.54916,0.006282355,33,"(332.77492, 332.77424)"
10999,29.173812,41.032928,29.173713,41.032921,332.77105,332.77005,665.5411,0.008253655,10,"(332.77105, 332.77005)"
11000,29.173609,41.035548,29.173694,41.035558,332.77164,332.7725,665.54414,0.007141787,4,"(332.77164, 332.7725)"
11001,29.173713,41.032921,29.173774,41.032857,332.77005,332.7706,665.54065,0.008723576,9,"(332.77005, 332.7706)"
11002,29.175788,41.039023,29.175869,41.038993,332.7969,332.79768,665.59458,0.007502508,5,"(332.7969, 332.79768)"
11003,29.174486,41.034745,29.174571,41.034792,332.77961,332.7805,665.56011,0.008774401,10,"(332.77961, 332.7805)"
11004,29.174948,41.033861,29.175058,41.033834,332.78334,332.78441,665.56775,0.009609314,10,"(332.78334, 332.78441)"
11005,29.174968,41.03769,29.17496,41.037576,332.78737,332.78718,665.57455,0.012671409,11,"(332.78737, 332.78718)"
11006,29.176144,41.040565,29.175788,41.039023,332.80201,332.7969,665.59891,0.173693738,53,"(332.80201, 332.7969)"
11007,29.175788,41.039023,29.174968,41.03769,332.7969,332.78737,665.58427,0.162865629,55,"(332.7969, 332.78737)"
11008,29.174968,41.03769,29.173609,41.035548,332.78737,332.77164,665.55901,0.263161418,55,"(332.78737, 332.77164)"
11009,29.173609,41.035548,29.173913,41.035108,332.77164,332.77424,665.54588,0.054972715,55,"(332.77164, 332.77424)"
11010,29.173913,41.035108,29.174486,41.034745,332.77424,332.77961,665.55385,0.062332851,55,"(332.77424, 332.77961)"
11011,29.174486,41.034745,29.174948,41.033861,332.77961,332.78334,665.56295,0.105350534,55,"(332.77961, 332.78334)"
11012,29.172565,41.030855,29.172665,41.030873,332.75651,332.75752,665.51403,0.008537096,31,"(332.75651, 332.75752)"
11013,29.168346,41.056166,29.168319,41.056287,332.73963,332.73948,665.47911,0.013616675,60,"(332.73963, 332.73948)"
11014,29.168319,41.056287,29.168469,41.056301,332.73948,332.74099,665.48047,0.01254661,59,"(332.73948, 332.74099)"
11015,29.168469,41.056301,29.168482,41.056178,332.74099,332.741,665.48199,0.01369557,60,"(332.74099, 332.741)"
11016,29.168482,41.056178,29.168346,41.056166,332.741,332.73963,665.48063,0.011366317,59,"(332.741, 332.73963)"
11017,29.168469,41.056301,29.168145,41.056689,332.74099,332.73814,665.47913,0.050774327,25,"(332.74099, 332.73814)"
